연번,구,유형,주소,세부위치,위도,경도
153,도봉구,일반쓰레기,해등로16길 12 ,창동 현대1차 앞,37.65594991,127.0407003
154,도봉구,일반쓰레기,해등로 113 ,창동 주공1단지 앞,37.65362226,127.0398339
155,도봉구,일반쓰레기,해등로 103 ,창원초교 앞,37.65275371,127.0407519
156,도봉구,일반쓰레기,도봉산길 13,도봉산성당앞,37.68721166,127.0442327
157,도봉구,일반쓰레기,방학동 산85-1,우이그린빌라 맞은편,37.65806953,127.0205953
158,도봉구,일반쓰레기,도봉로125길 94 ,삼화빌딩 맞은편,37.65659319,127.0377919
159,도봉구,일반쓰레기,마들로11길 74 ,창동역 1번출구,37.65407686,127.0487368
160,도봉구,일반쓰레기,도봉로 494,쌍문역 국민은행,37.64944807,127.035574
161,도봉구,일반쓰레기,도봉로 621,신한은행 맞은편,37.65975442,127.0417816
162,도봉구,일반쓰레기,도봉로 555,메가박스 맞은편,37.65483404,127.0379956
163,도봉구,일반쓰레기,도봉로 523,하이준빌딩 앞,37.65212181,127.0364508
164,도봉구,일반쓰레기,도봉로 479,정인한의원 맞은편,37.6486434,127.0343497
165,도봉구,일반쓰레기,도봉로113길 7,쌍문역 마을버스 정류장,37.64793749,127.0336244
166,도봉구,일반쓰레기,도봉로 468,쌍문역 신한은행 앞,37.64738612,127.0343725
167,도봉구,일반쓰레기,도봉로 534,간선지선마을버스 정류장,37.65276135,127.0374947
168,도봉구,일반쓰레기,도봉로 552,구민회관 앞,37.65416759,127.0386849
169,도봉구,일반쓰레기,도봉로 590-1,도봉보건소 맞은편,37.65738462,127.0402493
170,도봉구,일반쓰레기,도봉로170길,도봉역1번출구,37.68044025,127.0475746
171,도봉구,일반쓰레기,도봉로180길 9,중흥S클래스아파트 앞,37.68386798,127.0466376
172,도봉구,일반쓰레기,도봉로637-103,파리바게트 앞,37.61228893,127.0300649
173,도봉구,일반쓰레기,도봉로170길 2,럭키아파트 앞,37.6803765,127.0457722
174,도봉구,일반쓰레기,도봉로 769,KB국민은행 도봉지점 앞,37.67314488,127.0438439
175,도봉구,일반쓰레기,도봉로 675,홈플러스 맞은편,37.66471516,127.0423789
176,도봉구,일반쓰레기,도봉로 588-5,보건소사거리 다비치안경 맞은편,37.65718003,127.0403462
177,도봉구,일반쓰레기,도봉로 604,에이치큐브병원 앞 ,37.65831497,127.0410351
178,도봉구,일반쓰레기,마들로 656,도봉구의회 앞,37.66871632,127.0471316
179,도봉구,일반쓰레기,마들로 656,도봉구의회 건너편,37.66871632,127.0471316
180,도봉구,일반쓰레기,도봉로 지하 486-1(창동) ,쌍문역 1번출구,37.64884829,127.0348798
181,도봉구,일반쓰레기,도봉로 지하 486-1(창동) ,쌍문역 2번출구,37.64884829,127.0348798
182,도봉구,일반쓰레기,도봉로 지하 486-1(창동) ,쌍문역 3번출구,37.64884829,127.0348798
183,도봉구,일반쓰레기,도봉로 지하 486-1(창동) ,쌍문역 4번출구,37.64884829,127.0348798
184,도봉구,일반쓰레기,마들로11길 74,플랫폼61 앞,37.65407686,127.0487368
185,도봉구,일반쓰레기,마들로11길 77(창동) ,창동역 1번출구,37.65321776,127.0477154
186,도봉구,일반쓰레기,노해로63길 79,파리바게트 앞,37.65309179,127.0462941
187,도봉구,일반쓰레기,도봉로150다길 3,방학역 1번출구,37.66633987,127.0444191
188,도봉구,일반쓰레기,도봉로150다길 3,방학역 2번출구,37.66633987,127.0444191
189,도봉구,일반쓰레기,도봉로150다길 3,방학역 3번출구,37.66633987,127.0444191
190,도봉구,일반쓰레기,도봉로170길 2,도봉역 1번출구,37.6803765,127.0457722
191,도봉구,일반쓰레기,도봉로170길 2,도봉역 2번출구,37.6803765,127.0457722
192,도봉구,일반쓰레기,도봉로170길 2,도봉역 3번출구,37.6803765,127.0457722
193,도봉구,일반쓰레기,도봉로 948,도봉산역 1번출구,37.68886178,127.0461401
194,도봉구,일반쓰레기,도봉로 941,도봉산역 1번출구 맞은편,37.68837753,127.0453292
195,도봉구,일반쓰레기,도봉로 964-40,도봉산역 2번출구,37.68913253,127.0465354
196,도봉구,일반쓰레기,도봉로 948,도봉산역 3번출구,37.68886178,127.0461401
197,도봉구,일반쓰레기,도봉로 720,도봉병원 부근,37.66875973,127.043802
198,도봉구,일반쓰레기,도봉로 690 ,서울LPG충전소,37.66619247,127.0427348
199,도봉구,일반쓰레기,도봉로 730,안경점 부근 횡단보도,37.66945188,127.0438771
200,도봉구,일반쓰레기,마들로 916,창포원 남측입구,37.68953937,127.0471617
