연번,구,유형,주소,세부 위치,위도,경도
2,관악구,폐건전지,신림로29길 8,신림현대아파트 104동 분리수거장,,
2,관악구,폐건전지,신림로 29길 8,신림현대아파트 110동 분리수거장,,
2,관악구,폐건전지,서림3길 47,서림경로당 앞,,
2,관악구,폐건전지,복은길 76,제일성도교회 앞,,
2,관악구,폐건전지,신림로8길 32 건너편,,,
2,관악구,폐건전지,광신길 160,신림주공아파트1단지 관리사무소 옆,,
2,관악구,폐건전지,호암로 541,태흥아파트 관리사무소 앞,,
2,관악구,폐건전지,양지길 50-5,우정아파트1단지 관리사무소 옆,,
2,관악구,폐건전지,양지길 52-1,우정아파트2단지 관리사무소 앞,,
2,관악구,폐건전지,호암로16길 5,신림서초아파트 관리사무소 앞,,
2,관악구,폐건전지,호암로16길 11,청화아파트 관리사무소 앞,,
2,관악구,폐건전지,호암로 520,삼성동 자치회관,,
2,관악구,폐건전지,호암로 589,삼성동주민센터 주차장,,
2,관악구,폐건전지,호암로 519,벽산블루밍아파트 103동 앞,,
2,관악구,폐건전지,호암로 546,미림여고 창고,,
2,관악구,폐건전지,대학18길 6,신림동금호타운1차아파트 102동 주차장,,
2,관악구,폐건전지,신림로 67,서울산업정보학교,,
2,관악구,폐건전지,대학7길 26,관악아파트,,
2,관악구,폐건전지,신림로3가길 7,신림동금호타운2차아파트,,
2,관악구,폐건전지,대학20길 27,신림동현대아파트 정문 경비실 옆,,
2,관악구,폐건전지,신림로23길 17,관악청소년회관,,
2,관악구,폐건전지,신림로3길 40,"신림건영3차아파트 7동 앞, 재활용창고 옆",,
2,관악구,폐건전지,신림로23길 103,신림현대맨션 101동 앞,,
2,관악구,폐건전지,봉천로 279-8,보라매동주민센터,,
2,관악구,폐건전지,국회단지4길 4,은천동자치회관헬스장,,
2,관악구,폐건전지,봉천로33나길 30,은천동주민센터 주차장,,
2,관악구,폐건전지,성현로 80,관악드림타운 123동,,
2,관악구,폐건전지,양녕로16길 53,,,
2,관악구,폐건전지,구암길 106,관악드림타운 149동,,
2,관악구,폐건전지,성현로 80,관악드림타운 140동,,
2,관악구,폐건전지,성현로 80,관악드림타운 127동,,
2,관악구,폐건전지,성현로 80,관악드림타운 126동,,
2,관악구,폐건전지,성현로 80,관악드림타운경로당 뒤쪽,,
2,관악구,폐건전지,성현로 80,관악드림타운 106동,,
2,관악구,폐건전지,성현로 80,관악드림타운 101동,,
2,관악구,폐건전지,은천로33길 5,관악 동부 센트레빌 102동,,
2,관악구,폐건전지,관악로 285,성현동아아파트 관리사무소,,
2,관악구,폐건전지,관악로37길 20,봉천동아아파트 201동 앞,,
2,관악구,폐건전지,관악로37길 20,봉천동아아파트 202동 앞,,
2,관악구,폐건전지,은천로 137,관악 한일유액아이아파트 청소장,,
2,관악구,폐건전지,구암길 106,관악드림타운 148동,,
2,관악구,폐건전지,성현로 80,관악드림타운 113동,,
2,관악구,폐건전지,성현로 80,관악드림타운 136동,,
2,관악구,폐건전지,성현로 80,관악드림타운 142동,,
2,관악구,폐건전지,성현로 80,관악드림타운 117동,,
2,관악구,폐건전지,성현로 80,관악드림타운 107동,,
2,관악구,폐건전지,관악로 285,성현동아아파트 108동 지하계단 내려가는 길,,
